"variable","countryname","countrycode","year","value"
"Land area where elevation is below 5 meters (% of total land area)","Kiribati","KIR","yr2000","96.66959"
"Land area where elevation is below 5 meters (% of total land area)","Korea, Dem. Rep.","PRK","yr2000","2.420686"
"Land area where elevation is below 5 meters (% of total land area)","Korea, Rep.","KOR","yr2000","4.301836"
"Land area where elevation is below 5 meters (% of total land area)","Kosovo","KSV","yr2000",".."
"Land area where elevation is below 5 meters (% of total land area)","Kuwait","KWT","yr2000","8.859625"
"Land area where elevation is below 5 meters (% of total land area)","Kyrgyz Republic","KGZ","yr2000","0"
"Land area where elevation is below 5 meters (% of total land area)","Lao PDR","LAO","yr2000","0"
"Land area where elevation is below 5 meters (% of total land area)","Latvia","LVA","yr2000","3.031544"
"Land area where elevation is below 5 meters (% of total land area)","Lebanon","LBN","yr2000","1.742301"
"Land area where elevation is below 5 meters (% of total land area)","Lesotho","LSO","yr2000","0"
"Land area where elevation is below 5 meters (% of total land area)","Liberia","LBR","yr2000","0.3521506"
"Land area where elevation is below 5 meters (% of total land area)","Libya","LBY","yr2000","0.7758676"
"Land area where elevation is below 5 meters (% of total land area)","Liechtenstein","LIE","yr2000","0"
"Land area where elevation is below 5 meters (% of total land area)","Lithuania","LTU","yr2000","1.911668"
"Land area where elevation is below 5 meters (% of total land area)","Luxembourg","LUX","yr2000","0"
"Land area where elevation is below 5 meters (% of total land area)","Macao SAR, China","MAC","yr2000","35.38876"
"Land area where elevation is below 5 meters (% of total land area)","Macedonia, FYR","MKD","yr2000","0"
"Land area where elevation is below 5 meters (% of total land area)","Madagascar","MDG","yr2000","1.338625"
"Land area where elevation is below 5 meters (% of total land area)","Malawi","MWI","yr2000","0"
"Land area where elevation is below 5 meters (% of total land area)","Malaysia","MYS","yr2000","2.99209"
"Land area where elevation is below 5 meters (% of total land area)","Maldives","MDV","yr2000","99.99999"
"Land area where elevation is below 5 meters (% of total land area)","Mali","MLI","yr2000","0"
"Land area where elevation is below 5 meters (% of total land area)","Malta","MLT","yr2000","19.35084"
"Land area where elevation is below 5 meters (% of total land area)","Marshall Islands","MHL","yr2000","99.01826"
"Land area where elevation is below 5 meters (% of total land area)","Mauritania","MRT","yr2000","1.04547"
"Land area where elevation is below 5 meters (% of total land area)","Mauritius","MUS","yr2000","7.070228"
"Land area where elevation is below 5 meters (% of total land area)","Mexico","MEX","yr2000","2.941872"
"Land area where elevation is below 5 meters (% of total land area)","Micronesia, Fed. Sts.","FSM","yr2000","33.37462"
"Land area where elevation is below 5 meters (% of total land area)","Moldova","MDA","yr2000","1.302524"
"Land area where elevation is below 5 meters (% of total land area)","Monaco","MCO","yr2000","100"
"Land area where elevation is below 5 meters (% of total land area)","Mongolia","MNG","yr2000","0"
"Land area where elevation is below 5 meters (% of total land area)","Montenegro","MNE","yr2000",".."
"Land area where elevation is below 5 meters (% of total land area)","Morocco","MAR","yr2000","0.702659"
"Land area where elevation is below 5 meters (% of total land area)","Mozambique","MOZ","yr2000","1.832448"
"Land area where elevation is below 5 meters (% of total land area)","Myanmar","MMR","yr2000","4.560159"
"Land area where elevation is below 5 meters (% of total land area)","Namibia","NAM","yr2000","0.2863445"
"Land area where elevation is below 5 meters (% of total land area)","Nepal","NPL","yr2000","0"
"Land area where elevation is below 5 meters (% of total land area)","Netherlands","NLD","yr2000","58.46905"
"Land area where elevation is below 5 meters (% of total land area)","New Caledonia","NCL","yr2000","8.02987"
"Land area where elevation is below 5 meters (% of total land area)","New Zealand","NZL","yr2000","2.741883"
"Land area where elevation is below 5 meters (% of total land area)","Nicaragua","NIC","yr2000","3.569984"
"Land area where elevation is below 5 meters (% of total land area)","Niger","NER","yr2000","0"
"Land area where elevation is below 5 meters (% of total land area)","Nigeria","NGA","yr2000","0.5417737"
"Land area where elevation is below 5 meters (% of total land area)","Northern Mariana Islands","MNP","yr2000","28.05892"
"Land area where elevation is below 5 meters (% of total land area)","Norway","NOR","yr2000","4.850657"
"Land area where elevation is below 5 meters (% of total land area)","Oman","OMN","yr2000","1.082381"
"Land area where elevation is below 5 meters (% of total land area)","Pakistan","PAK","yr2000","1.420484"
"Land area where elevation is below 5 meters (% of total land area)","Palau","PLW","yr2000","21.3706"
"Land area where elevation is below 5 meters (% of total land area)","Panama","PAN","yr2000","3.705232"
"Land area where elevation is below 5 meters (% of total land area)","Papua New Guinea","PNG","yr2000","1.840861"
"Land area where elevation is below 5 meters (% of total land area)","Paraguay","PRY","yr2000","0"
"Land area where elevation is below 5 meters (% of total land area)","Peru","PER","yr2000","0.37851"
"Land area where elevation is below 5 meters (% of total land area)","Philippines","PHL","yr2000","6.017094"
"Land area where elevation is below 5 meters (% of total land area)","Poland","POL","yr2000","1.680418"
"Land area where elevation is below 5 meters (% of total land area)","Portugal","PRT","yr2000","2.305464"
"Land area where elevation is below 5 meters (% of total land area)","Puerto Rico","PRI","yr2000","7.731913"
"Land area where elevation is below 5 meters (% of total land area)","Qatar","QAT","yr2000","13.39369"
"Land area where elevation is below 5 meters (% of total land area)","Romania","ROM","yr2000","2.905914"
"Land area where elevation is below 5 meters (% of total land area)","Russian Federation","RUS","yr2000","1.905153"
"Land area where elevation is below 5 meters (% of total land area)","Rwanda","RWA","yr2000","0"
"Land area where elevation is below 5 meters (% of total land area)","Samoa","WSM","yr2000","7.33132"
"Land area where elevation is below 5 meters (% of total land area)","San Marino","SMR","yr2000","0"
"Land area where elevation is below 5 meters (% of total land area)","Sao Tome and Principe","STP","yr2000","14.72324"
"Land area where elevation is below 5 meters (% of total land area)","Saudi Arabia","SAU","yr2000","0.4817074"
"Land area where elevation is below 5 meters (% of total land area)","Senegal","SEN","yr2000","4.458758"
"Land area where elevation is below 5 meters (% of total land area)","Serbia","SRB","yr2000","0.1889901"
"Land area where elevation is below 5 meters (% of total land area)","Seychelles","SYC","yr2000","43.94353"
"Land area where elevation is below 5 meters (% of total land area)","Sierra Leone","SLE","yr2000","3.003588"
"Land area where elevation is below 5 meters (% of total land area)","Singapore","SGP","yr2000","8.058207"
"Land area where elevation is below 5 meters (% of total land area)","Sint Maarten (Dutch part)","SXM","yr2000",".."
"Land area where elevation is below 5 meters (% of total land area)","Slovak Republic","SVK","yr2000","0"
"Land area where elevation is below 5 meters (% of total land area)","Slovenia","SVN","yr2000","0.2044258"
"Land area where elevation is below 5 meters (% of total land area)","Solomon Islands","SLB","yr2000","11.53864"
"Land area where elevation is below 5 meters (% of total land area)","Somalia","SOM","yr2000","0.5667931"
"Land area where elevation is below 5 meters (% of total land area)","South Africa","ZAF","yr2000","0.1342833"
"Land area where elevation is below 5 meters (% of total land area)","South Sudan","SSD","yr2000",".."
"Land area where elevation is below 5 meters (% of total land area)","Spain","ESP","yr2000","1.256672"
"Land area where elevation is below 5 meters (% of total land area)","Sri Lanka","LKA","yr2000","3.868529"
"Land area where elevation is below 5 meters (% of total land area)","St. Kitts and Nevis","KNA","yr2000","19.02063"
"Land area where elevation is below 5 meters (% of total land area)","St. Lucia","LCA","yr2000","8.024293"
"Land area where elevation is below 5 meters (% of total land area)","St. Martin (French part)","MAF","yr2000",".."
"Land area where elevation is below 5 meters (% of total land area)","St. Vincent and the Grenadines","VCT","yr2000","21.95773"
"Land area where elevation is below 5 meters (% of total land area)","Sudan","SDN","yr2000","0.09428031"
"Land area where elevation is below 5 meters (% of total land area)","Suriname","SUR","yr2000","3.449275"
"Land area where elevation is below 5 meters (% of total land area)","Swaziland","SWZ","yr2000","0"
"Land area where elevation is below 5 meters (% of total land area)","Sweden","SWE","yr2000","1.528626"
"Land area where elevation is below 5 meters (% of total land area)","Switzerland","CHE","yr2000","0"
"Land area where elevation is below 5 meters (% of total land area)","Syrian Arab Republic","SYR","yr2000","0.05983744"
"Land area where elevation is below 5 meters (% of total land area)","Taiwan, China","TWN","yr2000",".."
"Land area where elevation is below 5 meters (% of total land area)","Tajikistan","TJK","yr2000","0"
"Land area where elevation is below 5 meters (% of total land area)","Tanzania","TZA","yr2000","0.1756921"
"Land area where elevation is below 5 meters (% of total land area)","Thailand","THA","yr2000","4.167608"
"Land area where elevation is below 5 meters (% of total land area)","Timor-Leste","TMP","yr2000","2.888742"
"Land area where elevation is below 5 meters (% of total land area)","Togo","TGO","yr2000","0.5779024"
"Land area where elevation is below 5 meters (% of total land area)","Tonga","TON","yr2000","40.46064"
"Land area where elevation is below 5 meters (% of total land area)","Trinidad and Tobago","TTO","yr2000","7.978341"
"Land area where elevation is below 5 meters (% of total land area)","Tunisia","TUN","yr2000","2.791754"
"Land area where elevation is below 5 meters (% of total land area)","Turkey","TUR","yr2000","1.026591"
"Land area where elevation is below 5 meters (% of total land area)","Turkmenistan","TKM","yr2000","5.304284"
"Land area where elevation is below 5 meters (% of total land area)","Turks and Caicos Islands","TCA","yr2000","53.2727"
"Land area where elevation is below 5 meters (% of total land area)","Tuvalu","TUV","yr2000","99.99996"
"Land area where elevation is below 5 meters (% of total land area)","Uganda","UGA","yr2000","0"
"Land area where elevation is below 5 meters (% of total land area)","Ukraine","UKR","yr2000","1.542492"
"Land area where elevation is below 5 meters (% of total land area)","United Arab Emirates","ARE","yr2000","4.644515"
"Land area where elevation is below 5 meters (% of total land area)","United Kingdom","GBR","yr2000","7.612598"
"Land area where elevation is below 5 meters (% of total land area)","United States","USA","yr2000","1.717947"
"Land area where elevation is below 5 meters (% of total land area)","Uruguay","URY","yr2000","1.906647"
"Land area where elevation is below 5 meters (% of total land area)","Uzbekistan","UZB","yr2000","0.0525719"
"Land area where elevation is below 5 meters (% of total land area)","Vanuatu","VUT","yr2000","11.67647"
"Land area where elevation is below 5 meters (% of total land area)","Venezuela, RB","VEN","yr2000","2.286449"
"Land area where elevation is below 5 meters (% of total land area)","Vietnam","VNM","yr2000","17.50231"
"Land area where elevation is below 5 meters (% of total land area)","Virgin Islands (U.S.)","VIR","yr2000","30.95858"
"Land area where elevation is below 5 meters (% of total land area)","West Bank and Gaza","WBG","yr2000","14.84334"
"Land area where elevation is below 5 meters (% of total land area)","Yemen, Rep.","YEM","yr2000","0.5608405"
"Land area where elevation is below 5 meters (% of total land area)","Zambia","ZMB","yr2000","0"
"Land area where elevation is below 5 meters (% of total land area)","Zimbabwe","ZWE","yr2000","0"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Afghanistan","AFG","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Albania","ALB","yr2000","4.4232987914"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Algeria","DZA","yr2000","3.6048562851"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","American Samoa","ASM","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Andorra","ADO","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Angola","AGO","yr2000","6.6562797979"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Antigua and Barbuda","ATG","yr2000","3.7291097683"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Argentina","ARG","yr2000","4.7088477435"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Armenia","ARM","yr2000","9.3951254126"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Aruba","ABW","yr2000","118.6854180316"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Australia","AUS","yr2000","6.7041876988"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Austria","AUT","yr2000","3.9539744768"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Azerbaijan","AZE","yr2000","13.1776105017"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bahamas, The","BHS","yr2000","3.85450134"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bahrain","BHR","yr2000","11.0453341781"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bangladesh","BGD","yr2000","4.1706819759"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Barbados","BRB","yr2000","4.6893010391"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Belarus","BLR","yr2000","14.0998833418"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Belgium","BEL","yr2000","6.5109298593"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Belize","BLZ","yr2000","8.9611267928"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Benin","BEN","yr2000","7.8413712929"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bermuda","BMU","yr2000","2.9285731259"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bhutan","BTN","yr2000","21.8993752661"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bolivia","BOL","yr2000","6.6022373257"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bosnia and Herzegovina","BIH","yr2000","7.7459391847"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Botswana","BWA","yr2000","4.1556470604"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Brazil","BRA","yr2000","4.082828785"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Brunei Darussalam","BRN","yr2000","4.0401044842"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Bulgaria","BGR","yr2000","10.4189369611"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Burkina Faso","BFA","yr2000","6.8196952861"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Burundi","BDI","yr2000","11.7339836448"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Cabo Verde","CPV","yr2000","3.0925543184"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Cambodia","KHM","yr2000","8.5442067096"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Cameroon","CMR","yr2000","7.2182331943"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Canada","CAN","yr2000","9.184664881"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Cayman Islands","CYM","yr2000","3.1298572349"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Central African Republic","CAF","yr2000","9.0935633261"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Chad","TCD","yr2000","8.0418691125"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Channel Islands","CHI","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Chile","CHL","yr2000","4.6626571233"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","China","CHN","yr2000","10.6694004651"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Colombia","COL","yr2000","3.2195659521"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Comoros","COM","yr2000","5.080561219"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Congo, Dem. Rep.","ZAR","yr2000","23.428691844"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Congo, Rep.","COG","yr2000","2.3587337979"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Costa Rica","CRI","yr2000","3.2010036773"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Cote d'Ivoire","CIV","yr2000","6.0954745935"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Croatia","HRV","yr2000","4.7886053804"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Cuba","CUB","yr2000","4.3573281189"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Curacao","CUW","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Cyprus","CYP","yr2000","4.478668026"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Czech Republic","CZE","yr2000","8.5848759943"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Denmark","DNK","yr2000","3.5897844278"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Djibouti","DJI","yr2000","6.4363364711"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Dominica","DMA","yr2000","3.4121507373"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Dominican Republic","DOM","yr2000","4.6506099359"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Ecuador","ECU","yr2000","4.0615599247"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Egypt, Arab Rep.","EGY","yr2000","3.297252967"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","El Salvador","SLV","yr2000","4.4481593953"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Equatorial Guinea","GNQ","yr2000","1.9943190432"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Eritrea","ERI","yr2000","5.202372679"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Estonia","EST","yr2000","9.867657268"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Ethiopia","ETH","yr2000","29.9746653848"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Faeroe Islands","FRO","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Fiji","FJI","yr2000","4.186571131"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Finland","FIN","yr2000","7.9298376965"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","France","FRA","yr2000","5.0750723317"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","French Polynesia","PYF","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Gabon","GAB","yr2000","2.8810727922"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Gambia, The","GMB","yr2000","5.8160028395"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Georgia","GEO","yr2000","8.2987408927"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Germany","DEU","yr2000","4.7769313415"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Ghana","GHA","yr2000","7.5770763075"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Greece","GRC","yr2000","4.2840014253"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Greenland","GRL","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Grenada","GRD","yr2000","3.4435953361"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Guam","GUM","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Guatemala","GTM","yr2000","4.1677956945"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Guinea","GIN","yr2000","13.3416044504"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Guinea-Bissau","GNB","yr2000","15.5602804117"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Guyana","GUY","yr2000","9.1421960585"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Haiti","HTI","yr2000","5.6596390291"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Honduras","HND","yr2000","5.7664785793"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Hong Kong SAR, China","HKG","yr2000","2.5020825898"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Hungary","HUN","yr2000","5.7669805405"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Iceland","ISL","yr2000","13.5544035026"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","India","IND","yr2000","7.0525314094"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Indonesia","IDN","yr2000","5.6170899868"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Iran, Islamic Rep.","IRN","yr2000","7.307328855"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Iraq","IRQ","yr2000","3.7982519386"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Ireland","IRL","yr2000","3.7891214507"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Isle of Man","IMY","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Israel","ISR","yr2000","4.7650133637"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Italy","ITA","yr2000","3.6381143208"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Jamaica","JAM","yr2000","7.607552256"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Japan","JPN","yr2000","5.3213787814"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Jordan","JOR","yr2000","5.51711306"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Kazakhstan","KAZ","yr2000","10.3405792945"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Kenya","KEN","yr2000","10.3803013422"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Kiribati","KIR","yr2000","3.7668336066"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Korea, Dem. Rep.","PRK","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Korea, Rep.","KOR","yr2000","8.0736932802"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Kosovo","KSV","yr2000","8.5937912374"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Kuwait","KWT","yr2000","5.1066865846"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Kyrgyz Republic","KGZ","yr2000","9.553816632"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Lao PDR","LAO","yr2000","5.6461490657"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Latvia","LVA","yr2000","5.8821977853"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Lebanon","LBN","yr2000","5.1498345176"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Lesotho","LSO","yr2000","7.1991982693"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Liberia","LBR","yr2000","39.7904085791"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Libya","LBY","yr2000","5.5715478146"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Liechtenstein","LIE","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Lithuania","LTU","yr2000","7.1124104856"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Luxembourg","LUX","yr2000","3.9806476905"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Macao SAR, China","MAC","yr2000","1.6311229386"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Macedonia, FYR","MKD","yr2000","6.0141231509"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Madagascar","MDG","yr2000","6.800411574"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Malawi","MWI","yr2000","13.7597814941"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Malaysia","MYS","yr2000","5.640384951"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Maldives","MDV","yr2000","4.2700821389"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Mali","MLI","yr2000","4.7127958122"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Malta","MLT","yr2000","2.8113569916"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Marshall Islands","MHL","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Mauritania","MRT","yr2000","5.5931073747"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Mauritius","MUS","yr2000","6.8604683236"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Mexico","MEX","yr2000","3.9696373187"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Micronesia, Fed. Sts.","FSM","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Moldova","MDA","yr2000","14.2933909428"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Monaco","MCO","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Mongolia","MNG","yr2000","10.7028316705"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Montenegro","MNE","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Morocco","MAR","yr2000","3.591527155"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Mozambique","MOZ","yr2000","29.9907607515"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Myanmar","MMR","yr2000","9.415958028"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Namibia","NAM","yr2000","3.5791537747"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Nepal","NPL","yr2000","9.2862833536"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Netherlands","NLD","yr2000","4.9080398564"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","New Caledonia","NCL","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","New Zealand","NZL","yr2000","6.76174572"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Nicaragua","NIC","yr2000","6.0126614013"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Niger","NER","yr2000","11.5720243089"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Nigeria","NGA","yr2000","10.3377436111"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Northern Mariana Islands","MNP","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Norway","NOR","yr2000","4.18138444"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Oman","OMN","yr2000","3.8700873224"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Pakistan","PAK","yr2000","5.540149557"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Palau","PLW","yr2000","7.8249768544"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Panama","PAN","yr2000","3.5371455129"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Papua New Guinea","PNG","yr2000","10.4127870206"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Paraguay","PRY","yr2000","4.9972937037"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Peru","PER","yr2000","3.0390219004"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Philippines","PHL","yr2000","5.0822377207"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Poland","POL","yr2000","6.8255997737"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Portugal","PRT","yr2000","3.9936307816"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Puerto Rico","PRI","yr2000","0.7415373757"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Qatar","QAT","yr2000","6.9017932854"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Romania","ROM","yr2000","6.8767537455"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Russian Federation","RUS","yr2000","13.4262953377"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Rwanda","RWA","yr2000","8.594418389"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Samoa","WSM","yr2000","4.4167143145"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","San Marino","SMR","yr2000",".."
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Sao Tome and Principe","STP","yr2000","6.394265034"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Saudi Arabia","SAU","yr2000","5.4871715048"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Senegal","SEN","yr2000","5.3122388624"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Serbia","SRB","yr2000","9.7149076433"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Seychelles","SYC","yr2000","5.5769403704"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Sierra Leone","SLE","yr2000","15.3456370165"
"Energy intensity level of primary energy (MJ/$2011 PPP GDP)","Singapore","SGP","yr2000","3.7685298996"
